start_hour,day_of_week,session_duration,pause_count,resume_count,completed,continued_later,focus_score,productivity_level
21,1,90,0,0,1,0,90,High
22,2,85,1,0,1,0,42.5,High
23,3,80,1,1,1,0,40,High
20,4,75,0,0,1,0,75,High
21,5,95,0,0,1,0,95,High
22,6,88,1,0,1,0,44,High
23,0,85,1,1,1,0,42.5,High
20,1,78,0,0,1,0,78,High
21,2,92,0,0,1,0,92,High
22,3,87,1,0,1,0,43.5,High
23,4,83,1,1,1,0,41.5,High
20,5,76,0,0,1,0,76,High
21,6,94,0,0,1,0,94,High
22,0,89,1,0,1,0,44.5,High
23,1,82,1,1,1,0,41,High
18,2,60,1,1,1,0,30,Medium
17,3,55,2,1,1,0,18.3,Medium
16,4,50,2,1,1,0,16.6,Medium
19,5,65,1,1,1,0,32.5,Medium
18,6,58,2,1,1,0,19.3,Medium
17,0,52,2,1,1,0,17.3,Medium
16,1,48,2,1,1,0,16,Medium
19,2,63,1,1,1,0,31.5,Medium
18,3,57,2,1,1,0,19,Medium
17,4,53,2,1,1,0,17.6,Medium
16,5,49,2,1,1,0,16.3,Medium
19,6,62,1,1,1,0,31,Medium
18,0,56,2,1,1,0,18.6,Medium
17,1,51,2,1,1,0,17,Medium
16,2,47,2,1,1,0,15.6,Medium
9,3,30,3,2,0,1,7.5,Low
10,4,35,3,2,0,1,8.7,Low
11,5,28,3,2,0,1,7,Low
8,6,25,2,2,0,1,8.3,Low
9,0,32,3,2,0,1,8,Low
10,1,36,3,2,0,1,9,Low
11,2,29,3,2,0,1,7.2,Low
8,3,24,2,2,0,1,8,Low
9,4,31,3,2,0,1,7.7,Low
10,5,34,3,2,0,1,8.5,Low
11,6,27,3,2,0,1,6.7,Low
8,0,23,2,2,0,1,7.6,Low
9,1,30,3,2,0,1,7.5,Low
10,2,33,3,2,0,1,8.2,Low
11,3,26,3,2,0,1,6.5,Low
